OBJECTID,名称,建造时间,建筑面积,层数,结构类型,层高,特殊情况,结构功能,占地面积
61,新北川建筑,2010,737.8115933,6,0,3.3,无,住宅,737.8115933
62,新北川建筑,2010,631.9712665,6,0,3.3,无,住宅,631.9712665
63,新北川建筑,2010,3641.66067,3,0,3.6,无,住宅,3641.66067
64,新北川建筑,2010,846.9662799,6,0,3.3,无,住宅,846.9662799
65,新北川建筑,2010,737.7510067,6,0,3.3,无,住宅,737.7510067
66,新北川建筑,2010,765.266509,1,0,3.6,无,住宅,765.266509
67,新北川建筑,2010,840.0979725,6,0,3.3,无,住宅,840.0979725
68,新北川建筑,2010,757.38924,3,0,3.6,无,住宅,757.38924
69,新北川建筑,2010,730.2613272,6,0,3.3,无,住宅,730.2613272
70,新北川建筑,2010,777.7656924,6,0,3.3,无,住宅,777.7656924
71,新北川建筑,2010,1202.374517,6,0,3.3,无,住宅,1202.374517
72,新北川建筑,2010,1963.545119,1,0,10,无,住宅,1963.545119
73,新北川建筑,2010,9369.475454,1,0,10,无,住宅,9369.475454
74,新北川建筑,2010,317.3786899,3,0,3.6,无,住宅,317.3786899
75,新北川建筑,2010,824.0498566,6,0,3.3,无,住宅,824.0498566
76,新北川建筑,2010,1000.248235,6,0,3.3,无,住宅,1000.248235
77,新北川建筑,2010,1040.294869,6,0,3.3,无,住宅,1040.294869
78,新北川建筑,2010,699.7219576,6,0,3.3,无,住宅,699.7219576
79,新北川建筑,2010,826.6981135,6,0,3.3,无,住宅,826.6981135
80,新北川建筑,2010,612.0781398,1,0,3.6,无,住宅,612.0781398
81,新北川建筑,2010,2338.771513,3,0,3.6,无,住宅,2338.771513
82,新北川建筑,2010,556.8716106,2,0,3.6,无,住宅,556.8716106
83,新北川建筑,2010,113.2232252,1,0,3.6,无,住宅,113.2232252
84,新北川建筑,2010,987.9932351,6,0,3.3,无,住宅,987.9932351
85,新北川建筑,2010,1370.94653,3,0,3.6,无,住宅,1370.94653
86,新北川建筑,2010,1026.732922,6,0,3.3,无,住宅,1026.732922
87,新北川建筑,2010,699.918455,6,0,3.3,无,住宅,699.918455
88,新北川建筑,2010,1057.14586,6,0,3.3,无,住宅,1057.14586
89,新北川建筑,2010,723.8503307,6,0,3.3,无,住宅,723.8503307
90,新北川建筑,2010,936.98802,6,0,3.3,无,住宅,936.98802
91,新北川建筑,2010,798.154695,6,0,3.3,无,住宅,798.154695
92,新北川建筑,2010,932.445936,6,0,3.3,无,住宅,932.445936
93,新北川建筑,2010,513.3258773,2,0,3.6,无,住宅,513.3258773
94,新北川建筑,2010,749.6517896,6,0,3.3,无,住宅,749.6517896
95,新北川建筑,2010,892.2363689,6,0,3.3,无,住宅,892.2363689
96,新北川建筑,2010,771.439991,6,0,3.3,无,住宅,771.439991
97,新北川建筑,2010,746.8195027,6,0,3.3,无,住宅,746.8195027
98,新北川建筑,2010,757.7299357,6,0,3.3,无,住宅,757.7299357
99,新北川建筑,2010,1068.929304,6,0,3.3,无,住宅,1068.929304
100,新北川建筑,2010,5896.75802,1,0,10,无,住宅,5896.75802
101,新北川建筑,2010,92.70713829,1,0,3.6,无,住宅,92.70713829
102,新北川建筑,2010,825.7585115,6,0,3.3,无,住宅,825.7585115
103,新北川建筑,2010,3187.979952,1,0,10,无,住宅,3187.979952
104,新北川建筑,2010,666.2581802,3,0,3.6,无,住宅,666.2581802
105,新北川建筑,2010,1297.17263,4,0,3.6,无,住宅,1297.17263
106,新北川建筑,2010,774.6051218,1,0,10,无,住宅,774.6051218
107,新北川建筑,2010,55.99865817,1,0,3.6,无,住宅,55.99865817
108,新北川建筑,2010,702.3060453,6,0,3.3,无,住宅,702.3060453
109,新北川建筑,2010,737.7312904,6,0,3.3,无,住宅,737.7312904
110,新北川建筑,2010,690.849299,6,0,3.3,无,住宅,690.849299
111,新北川建筑,2010,783.653908,6,0,3.3,无,住宅,783.653908
112,新北川建筑,2010,796.0443733,6,0,3.3,无,住宅,796.0443733
113,新北川建筑,2010,3278.591139,1,0,10,无,住宅,3278.591139
114,新北川建筑,2010,1158.885252,4,0,3.6,无,住宅,1158.885252
115,新北川建筑,2010,961.3668499,1,0,10,无,住宅,961.3668499
116,新北川建筑,2010,2253.631661,1,0,10,无,住宅,2253.631661
117,新北川建筑,2010,774.3343965,4,0,3.6,无,住宅,774.3343965
118,新北川建筑,2010,2002.765954,6,0,3.3,无,住宅,2002.765954
119,新北川建筑,2010,1368.849306,2,0,3.6,无,住宅,1368.849306
120,新北川建筑,2010,863.5295392,6,0,3.3,无,住宅,863.5295392
121,新北川建筑,2010,909.6927691,6,0,3.3,无,住宅,909.6927691
122,新北川建筑,2010,1090.991441,6,0,3.3,无,住宅,1090.991441
123,新北川建筑,2010,2088.283621,3,0,3.6,无,住宅,2088.283621
124,新北川建筑,2010,834.4960461,6,0,3.3,无,住宅,834.4960461
125,新北川建筑,2010,1333.268076,2,0,3.6,无,住宅,1333.268076
126,新北川建筑,2010,1040.003527,4,0,3.6,无,住宅,1040.003527
127,新北川建筑,2010,1656.454797,1,0,4,无,住宅,1656.454797
128,新北川建筑,2010,422.0983473,1,0,3.6,无,住宅,422.0983473
129,新北川建筑,2010,1118.75068,4,0,3.6,无,住宅,1118.75068
130,新北川建筑,2010,1018.477497,4,0,3.6,无,住宅,1018.477497
131,新北川建筑,2010,1040.984397,4,0,3.6,无,住宅,1040.984397
132,新北川建筑,2010,1010.886373,4,0,3.6,无,住宅,1010.886373
133,新北川建筑,2010,728.0196695,6,0,3.3,无,住宅,728.0196695
134,新北川建筑,2010,640.872982,6,0,3.3,无,住宅,640.872982
135,新北川建筑,2010,715.4564372,6,0,3.3,无,住宅,715.4564372
136,新北川建筑,2010,994.4920168,6,0,3.3,无,住宅,994.4920168
137,新北川建筑,2010,618.2993927,6,0,3.3,无,住宅,618.2993927
138,新北川建筑,2010,1873.904479,5,0,3.6,无,住宅,1873.904479
139,新北川建筑,2010,79.89545591,1,0,3.6,无,住宅,79.89545591
140,新北川建筑,2010,31.89138437,1,0,3.6,无,住宅,31.89138437
141,新北川建筑,2010,1476.786263,3,0,3.6,无,住宅,1476.786263
142,新北川建筑,2010,1235.078159,4,0,3.6,无,住宅,1235.078159
143,新北川建筑,2010,1043.156507,6,0,3.3,无,住宅,1043.156507
144,新北川建筑,2010,697.1407364,6,0,3.3,无,住宅,697.1407364
145,新北川建筑,2010,738.3615664,6,0,3.3,无,住宅,738.3615664
146,新北川建筑,2010,586.3076234,1,0,10,无,住宅,586.3076234
147,新北川建筑,2010,707.8378295,6,0,3.3,无,住宅,707.8378295
148,新北川建筑,2010,488.2670847,1,0,10,无,住宅,488.2670847
149,新北川建筑,2010,941.8333136,6,0,3.3,无,住宅,941.8333136
150,新北川建筑,2010,1365.633345,6,0,3.3,无,住宅,1365.633345
151,新北川建筑,2010,149.3005862,1,0,3.6,无,住宅,149.3005862
152,新北川建筑,2010,2837.988014,1,0,10,无,住宅,2837.988014
153,新北川建筑,2010,1145.149702,3,0,3.6,无,住宅,1145.149702
154,新北川建筑,2010,4463.236801,1,0,10,无,住宅,4463.236801
155,新北川建筑,2010,886.7479454,3,0,3.6,无,住宅,886.7479454
156,新北川建筑,2010,1310.431688,4,0,3.6,无,住宅,1310.431688
157,新北川建筑,2010,707.4684055,6,0,3.3,无,住宅,707.4684055
158,新北川建筑,2010,496.4121094,6,0,3.3,无,住宅,496.4121094
159,新北川建筑,2010,39.20918106,1,0,3.6,无,住宅,39.20918106
160,新北川建筑,2010,599.7919727,6,0,3.3,无,住宅,599.7919727
161,新北川建筑,2010,2608.724156,4,0,3.6,无,住宅,2608.724156
